order_id,order_details,customer_id,order_date,delivery_date,recensione
1,"""Sony Ps5 825GB""",2021_23,01/01/2022,04/01/2022,
2,"""Sony Ps5 825GB""",2021_31,02/01/2022,05/01/2022,
3,"""Hotpoint HIC 3C41""",2021_37,02/01/2022,05/01/2022,the product is as in description \n fast delivery
4,"""Microsoft Xbox Series X""",2021_42,03/01/2022,06/01/2022,
5,"""LG F4WV510SAE"",""Whirlpool MWP 337 SB""",2021_37,04/01/2022,07/01/2022,
6,"""Nintendo Switch Oled""",2022_1,13/01/2022,16/01/2022,
7,"""Apple iPhone 14 128GB""",2021_35,14/01/2022,25/09/2022,
8,"""Whirlpool MWP 337 SB""",2021_111,15/01/2022,31/01/2022,late delivery
9,"""Microsoft Xbox Series X""",2022_23,16/01/2022,19/01/2022,
10,"""Samsung Galaxy S22 Ultra 5G 256 GB""",2021_112,31/01/2022,03/02/2022,
11,"""LG F4WV510SAE""",2021_184,01/02/2022,04/02/2022,
12,"""Microsoft Xbox Series X""",2021_110,02/02/2022,05/02/2022,
13,"""LG F4WV510SAE"",""Hitachi 50HAK5351""",2021_173,10/02/2022,13/02/2022,
14,"""Xiaomi 12 Pro 5G 256 GB""",2021_195,10/02/2022,13/02/2022,
15,"""Sony Ps5 825GB""",2021_195,16/02/2022,19/02/2022,all is ok
16,"""Apple iPhone 14 128GB""",2021_42,17/02/2022,25/09/2022,
17,"""Sony Ps5 825GB""",2021_35,18/02/2022,21/02/2022,
18,"""Hitachi 50HAK5351""",2022_32,28/02/2022,03/03/2022,
19,"""Sony Ps5 825GB""",2022_33,01/03/2022,04/03/2022,
20,"""Xiaomi 12 Pro 5G 256 GB""",2021_83,02/03/2022,05/03/2022,
21,"""Sony Ps5 825GB""",2021_196,03/03/2022,06/03/2022,
22,"""Nintendo Switch Oled""",2021_112,04/03/2022,07/03/2022,
23,"""Whirlpool MWP 337 SB""",2022_32,13/03/2022,16/03/2022,
24,"""Apple iPhone 14 128GB""",2021_72,17/03/2022,25/09/2022,
25,"""Apple iPhone 14 128GB""",2021_75,18/03/2022,25/09/2022,
26,"""Sony Ps5 825GB""",2021_83,19/03/2022,22/03/2022,
27,"""Microsoft Xbox Series X""",2021_171,20/03/2022,23/03/2022,
28,"""Xiaomi 12 Pro 5G 256 GB""",2021_111,21/03/2022,24/03/2022,
29,"""Hitachi 50HAK5351""",2021_84,31/03/2022,03/04/2022,
30,"""Microsoft Xbox Series X""",2021_112,01/04/2022,04/04/2022,all is ok
31,"""Microsoft Xbox Series X""",2021_84,02/04/2022,05/04/2022,all is ok
32,"""Sony Ps5 825GB""",2021_173,03/04/2022,06/04/2022,
33,"""Samsung Galaxy S22 Ultra 5G 256 GB""",2022_45,11/04/2022,14/04/2022,
34,"""Xiaomi 12 Pro 5G 256 GB""",2022_1,16/04/2022,19/04/2022,
35,"""Nintendo Switch Oled""",2021_100,20/04/2022,23/04/2022,
36,"""Hotpoint HIC 3C41""",2021_43,21/04/2022,24/04/2022,all is ok
37,"""Nintendo Switch Oled""",2021_72,22/04/2022,25/04/2022,
38,"""Samsung Galaxy S22 Ultra 5G 256 GB""",2022_53,23/04/2022,26/04/2022,
39,"""Samsung Galaxy S22 Ultra 5G 256 GB""",2021_100,24/04/2022,27/04/2022,
40,"""Xiaomi 12 Pro 5G 256 GB""",2021_110,30/04/2022,03/05/2022,
41,"""Sony Ps5 825GB""",2021_112,03/05/2022,06/05/2022,
42,"""Samsung Galaxy S22 Ultra 5G 256 GB""",2021_42,10/05/2022,13/05/2022,
43,"""Apple iPhone 14 128GB""",2021_154,11/05/2022,25/09/2022,
44,"""Samsung TV UE65AU7170""",2021_100,12/05/2022,15/05/2022,
45,"""Xiaomi 12 Pro 5G 256 GB""",2021_31,13/05/2022,16/05/2022,
46,"""Apple iPhone 14 128GB""",2022_53,27/05/2022,25/09/2022,
47,"""Apple iPhone 14 128GB""",2021_43,27/05/2022,25/09/2022,
48,"""Samsung Galaxy S22 Ultra 5G 256 GB""",2021_98,27/05/2022,30/05/2022,
49,"""Samsung TV UE65AU7170""",2021_173,27/05/2022,30/05/2022,
50,"""Samsung Galaxy S22 Ultra 5G 256 GB""",2021_31,31/05/2022,03/06/2022,
51,"""Sony Ps5 825GB""",2022_57,06/06/2022,09/06/2022,
52,"""Whirlpool MWP 337 SB""",2021_167,07/06/2022,10/06/2022,problems with customer care \n not recommended
53,"""Apple iPhone 14 128GB""",2021_171,08/06/2022,25/09/2022,
54,"""Sony Ps5 825GB""",2021_154,09/06/2022,12/06/2022,
55,"""Apple iPhone 14 128GB""",2021_84,10/06/2022,25/09/2022,
56,"""Hitachi 50HAK5351"", ""Apple iPhone 14 128GB""",2022_61,17/06/2022,02/07/2022,late delivery
57,"""Microsoft Xbox Series X"", ""Samsung Galaxy S22 Ultra 5G 256 GB""",2021_96,26/06/2022,29/06/2022,
58,"""Apple iPhone 14 128GB""",2021_37,27/06/2022,25/09/2022,
59,"""Sony Ps5 825GB""",2022_45,28/06/2022,01/07/2022,
60,"""Samsung TV UE65AU7170""",2022_65,29/06/2022,02/07/2022,
